carrierName,carrierCode
007EX,EX_007
17 Post Service,POSTSERVICE_17
2GO,GO_2
360 Lion Express,LION_360
4PX,PX_4
Best Express,BESTEX_800
AAA Cooper,AAA_COOPER
AB Custom Group,ABCUSTOM
ABF Freight,ABF
ABX Express,ABXEXPRESS_MY
aCommerce,ACOMMERCE
ACS Courier,ACSCOURIER
ACS Worldwide Express,ACSWORLDWIDE
Adicional Logistics,ADICIONAL
ADSOne,ADSONE
A Duie Pyle,ADUIEPYLE
Mexico AeroFlash,AEROFLASH
Aersure,AERSURE
AIR21,AIR21
Airpak Express,AIRPAK_EXPRESS
Airspeed International Corporation,AIRSPEED
AlfaTrex,ALFATREX
Allied Express,ALLIEDEXPRESS
ALLJOY SUPPLY CHAIN CO.,ALLJOY
alphaFAST,ALPHAFAST
Amazon FBA USA,AMZN
An Post,AN_POST
APC Postal Logistics,APC
APC Overnight,APC_OVERNIGHT
APC Overnight Consignment Number,APC_OVERNIGHT_CONNUM
Aprisa Express,APRISAEXPRESS
Aramex,ARAMEX
Arrow XL,ARROWXL
Asendia Germany,ASENDIA_DE
Asendia HK,ASENDIA_HK
Asendia UK,ASENDIA_UK
Asendia USA,ASENDIA_USA
ASM,ASM
AuPost China,AUPOST_CHINA
Australia Post,AUSTRALIA_POST
Austrian Post (Express),AUSTRIAN_POST
Austrian Post (Registered),AUSTRIAN_POST_REGISTERED
B2C Europe,B2CEUROPE
Belpost,BELPOST
Bert Transport,BERT_FR
Best Way Parcel,BESTWAYPARCEL
Bulgarian Posts,BGPOST
JP BH Pošta,BH_POSTA
B&H Worldwide,BH_WORLDWIDE
BirdSystem,BIRDSYSTEM
BJS Distribution,BJSHOMEDELIVERY
Bluecare Express Ltd,BLUECARE
Bluedart,BLUEDART
Blue Star,BLUESTAR
Bneed,BNEED
Bonds Couriers,BONDSCOURIERS
BoxC,BOXC
Bpost,BPOST
Bpost international,BPOST_INTERNATIONAL
Brazil Correios,BRAZIL_CORREIOS
BRT Bartolini,BRT_IT
BRT Bartolini(Parcel ID),BRT_IT_PARCELID
Buylogic,BUYLOGIC
Cambodia Post,CAMBODIA_POST
Canada Post,CANADA_POST
Canpar Courier,CANPAR
CBL Logistics,CBL_LOGISTICA
Celeritas Transporte,CELERITAS
Česká Pošta,CESKA_POSTA
Champion Logistics,CHAMPION_LOGISTICS
China EMS (ePacket),CHINA_EMS
China Post,CHINA_POST
Chit Chats,CHITCHATS
C.H. Robinson Worldwide,CHROBINSON
Chronopost France,CHRONOPOST_FRANCE
Chronopost Portugal,CHRONOPOST_PORTUGAL
City-Link Express,CITYLINKEXPRESS
CJ GLS,CJ_GLS
