"click here to display the categories","Klicken Sie hier, um die Kategorien anzuzeigen"
"No Simulation","Keine Simulation"
"Authorization soft decline","Weiche Ablehnung für Autorisierung"
"Authorization hard decline","Harte Ablehnung für Autorisierung"
"Authorization timed out","Zeitüberschreitung bei Autorisierung"
"Capture declined","Capture abgelehnt"
"Capture pending","Capture ausstehend"
"Refund declined","Erstattung abgelehnt"
"Synchronous","Synchron"
"Asynchronous","Asynchron"
"Synchronous if Possible","Synchron, wenn möglich"
"Gold","Gold"
"Light Gray","Hellgrau"
"Dark Gray","Dunkelgrau"
"Small","Klein"
"Medium","Mittelgroß"
"Large","Groß"
"Extra Large","Extragroß"
"Login with Amazon / Pay with Amazon","Login mit Amazon/Bezahlen mit Amazon"
"Login / Pay","Login/Bezahlen"
"Amazon Logo","Logo von Amazon"
"Charge on Shipment","Abbuchung bei Versand"
"Charge on Order","Abbuchung bei Bestellung"
"Euro Region","Eurozone"
"United Kingdom","Vereinigtes Königreich"
"United States","Vereinigte Staaten"
"Japan","Japan"
"Data Polling via Cron Job","Datenabruf über Cron-Job"
"Instant Payment Notifications","Sofortige Zahlungsbenachrichtigungen"
"Amazon Payments","Amazon Payments"
"General","Allgemeines"
"Credentials","Anmeldedaten"
"Merchant Id","Händlernummer"
"Access Key Id","Access Key ID"
"Secret Access Key","Secret Access Key"
"Client Id","Client-ID"
"Client Secret","Client Secret"
"Credentials JSON","JSON-Anmeldedaten"
"Payment Region","Zahlungsregion"
"Sandbox","Sandbox"
"Javascript Origin","Javascript-Ursprung"
"Redirect URL","Weiterleitungs-URL"
"Options","Optionen"
"Enable Pay with Amazon","Bezahlen mit Amazon aktivieren"
"Enable Login with Amazon","Login mit Amazon aktivieren"
"Payment Action","Zahlungsaktion"
"Authorization Mode","Autorisierungsmodus"
"Update Mechanism","Aktualisierungsmechanismus"
"Pay With Amazon button is visible on Product Page","""Bezahlen mit Amazon"" ist auf der Produktseite sichtbar"
"Advanced","Erweitert"
"Frontend","Front-End"
"Button Display Language","Anzeigesprache für Schaltflächen"
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>.","Steuert die Sprache für Schaltflächen und Widgets. Die Standardeinstellung ist das Gebietsschema Ihrer Website. Verfügbare Optionen finden Sie <a href=""https://payments.amazon.de/developer/documentation/lpwa/201953980#SPRACHPARAMETER_EINGEBEN"">hier</a>."
"Button Color","Farbe der Schaltfläche"
"Button Size","Größe der Schaltfläche"
"Sales Options","Verkaufsoptionen"
"New Order Status","Neuer Bestellstatus"
"Sales Exclusions","Verkaufsausschlüsse"
"Is Packing Stations Terms Validation Enabled","Überprüfung der Begriffe für Packstationen ist aktiviert"
"Packing Stations Terms","Begriffe für Packstationen"
"A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station.","Eine kommagetrennte Liste mit Begriffen (ohne Unterscheidung zwischen Groß- und Kleinschreibung), anhand derer überprüft wird, ob es sich bei einer Kundenadresse um ein Schließfach oder eine Packstation handelt."
"Excluded Categories","Ausgeschlossene Kategorien"
"The ""Pay with Amazon"" button will not be available for products of the selected categories.","""Bezahlen mit Amazon"" ist für Produkte der ausgewählten Kategorien nicht verfügbar."
"Developer Options","Entwickleroptionen"
"Logging","Protokollierung"
"Allowed IPs","Zulässige IPs"
"Comma separated. The ""Login with Amazon"" and ""Pay with Amazon"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","Kommagetrennt. ""Login mit Amazon"" und ""Bezahlen mit Amazon"" sind <em>nur<em/> für Kunden mit den oben aufgeführten IPs verfügbar.
                            Wenn das Feld leer ist, sind die Schaltflächen für alle Clients sichtbar."
