"click here to display the categories","cliquez ici pour afficher les catégories"
"No Simulation","Aucune simulation"
"Authorization soft decline","Refus court de l'autorisation"
"Authorization hard decline","Refus long de l'autorisation"
"Authorization timed out","Autorisation expirée"
"Capture declined","Saisie rejetée"
"Capture pending","Saisie en attente"
"Refund declined","Remboursement refusé"
"Synchronous","Synchrone"
"Asynchronous","Asynchrone"
"Synchronous if Possible","Synchrone si possible"
"Gold","Doré"
"Light Gray","Gris clair"
"Dark Gray","Gris foncé"
"Small","Petit"
"Medium","Moyen"
"Large","Grand"
"Extra Large","Très grand"
"Login with Amazon / Pay with Amazon","Connectez-vous avec Amazon / Payez avec Amazon"
"Login / Pay","Connectez-vous / Payez"
"Amazon Logo","Logo Amazon"
"Charge on Shipment","Débit lors de l'expédition"
"Charge on Order","Débit lors de la commande"
"Euro Region","Eurorégion"
"United Kingdom","Royaume-Uni"
"United States","États-Unis"
"Japan","Japon"
"Data Polling via Cron Job","Analyse des données via les tâches Cron"
"Instant Payment Notifications","Notifications de paiement instantané"
"Amazon Payments","Amazon Payments"
"General","Général"
"Credentials","Informations d'identification"
"Merchant Id","Identifiant du marchand"
"Access Key Id","ID de clé d'accès"
"Secret Access Key","Clé d'accès secrète"
"Client Id","Identifiant client"
"Client Secret","Secret du client"
"Credentials JSON","Informations d'identification JSON"
"Payment Region","Région de paiement"
"Sandbox","Environnement test"
"Javascript Origin","Origine JavaScript"
"Redirect URL","URL de redirection"
"Options","Options"
"Enable Pay with Amazon","Activer Payez avec Amazon"
"Enable Login with Amazon","Activer Connectez-vous avec Amazon"
"Payment Action","Action de paiement"
"Authorization Mode","Mode d'autorisation"
"Update Mechanism","Mettre à jour le mécanisme"
"Pay With Amazon button is visible on Product Page","Le bouton Payez avec Amazon est visible sur la page du produit"
"Advanced","Avancé"
"Frontend","Avant"
"Button Display Language","Langue d'affichage du bouton"
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>.","Contrôle la langue du bouton et du widget. Il s'agit par défaut de la langue du pays de votre site. Les options disponibles se trouvent <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">ici</a>."
"Button Color","Couleur du bouton"
"Button Size","Taille du bouton"
"Sales Options","Options de vente"
"New Order Status","Nouvel état de la commande"
"Sales Exclusions","Exclusions de vente"
"Is Packing Stations Terms Validation Enabled","La validation des termes pour les lieux de conditionnement est-elle activée"
"Packing Stations Terms","Termes pour les lieux de conditionnement"
"A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station.","Liste séparée par des virgules de termes ne tenant pas compte des majuscules et des minuscules, qui sera utilisée pour vérifier si l'adresse d'un client est un casier ou un lieu de conditionnement."
"Excluded Categories","Catégories exclues"
"The ""Pay with Amazon"" button will not be available for products of the selected categories.","Le bouton Payez avec Amazon ne sera pas disponible pour les produits des catégories sélectionnées."
"Developer Options","Options pour le développeur"
"Logging","Journalisation"
"Allowed IPs","IP autorisées"
"Comma separated. The ""Login with Amazon"" and ""Pay with Amazon"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","Séparée par des virgules. Les boutons Connectez-vous avec Amazon et Payez avec Amazon seront intégrés <em>uniquement</em> pour les clients aux IP ci-dessus.
                            Si le champ est vide, les boutons seront visibles par tous les clients."
