"click here to display the categories"カテゴリーを表示するには、こちらをクリックして下さい。"
"No Simulation","シミュレートなし"
"Authorization soft decline","認証拒否(soft)"
"Authorization hard decline","認証拒否(hard)"
"Authorization timed out","認証のタイムアウト"
"Capture declined","売り上げ計上の拒否"
"Capture pending","売り上げ計上の待機中"
"Refund declined","返金の拒否"
"Synchronous","Synchronous"
"Asynchronous","Asynchronous"
"Synchronous if Possible","Synchronous if Possible"
"Gold","ゴールド"
"Light Gray","ライトゴールド"
"Dark Gray","ダークゴールド"
"Small","スモール"
"Medium","ミディアム"
"Large","ラージ"
"Extra Large","エクストララージ"
"Login with Amazon / Amazon Pay","Amazon / Amazon Payでログイン"
"Login / Pay",""Login / Pay""
"Amazon Pay Logo","AmazonPayロゴ"
"Charge on Shipment","Charge on Shipment"
"Charge on Order","Charge on Order"
"Euro Region","Euro Region"
"United Kingdom","United Kingdom"
"United States","United States"
"Japan","日本"
"Data Polling via Cron Job","Data Polling via Cron Job"
"Instant Payment Notifications","Instant Payment Notifications"
"Amazon Pay","Amazon Pay"
"General","一般"
"Credentials","機密情報"
"Merchant Id","出品者Id"
"Access Key Id","アクセスキーId"
"Secret Access Key","シークレットアクセスキー"
"Client Id","クライアントId"
"Client Secret","クライアントシークレット"
"Credentials JSON","Credentials JSON"
"Payment Region","決済地域"
Sandbox,サンドボックス
"Allowed Javascript Origins","Allowed Javascript Origins"
"Allowed Return URLs","Allowed Return URLs"
Options,オプションズ
"Enable Amazon Pay","Amazon Pay　有効化"
"Enable Login with Amazon","Login with Amazon　有効化"
"Payment Action","決済アクション"
"Authorization Mode","Authorization Mode"
"Update Mechanism","Update Mechanism"
"Amazon Pay button is visible on Product Page","Amazon Pay button is visible on Product Page"
Advanced,Advanced
Frontend,Frontend
"Button Display Language","Button Display Language"
"Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>.","Controls button and widget language. The default is your shop's locale. Available options can be found <a href=""https://payments.amazon.co.uk/developer/documentation/lpwa/201953980#ENTER_LANGUAGE_PARAMETER"">here</a>."
"Button Color","Button Color"
"Button Size","Button Size"
"Sales Options","Sales Options"
"New Order Status","New Order Status"
"Sales Exclusions","Sales Exclusions"
"Is Packing Stations Terms Validation Enabled","Is Packing Stations Terms Validation Enabled"
"Packing Stations Terms","Packing Stations Terms"
"A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station.","A comma-separated list of case-insensitive terms which will be used to check whether a Customer Address is a locker or packing station."
"Excluded Categories","Excluded Categories"
"The ""Amazon Pay"" button will not be available for products of the selected categories.","The ""Amazon Pay"" button will not be available for products of the selected categories."
"Developer Options","Developer Options"
Logging,Logging
"Allowed IPs","Allowed IPs"
"Comma separated. The ""Login with Amazon"" and ""Amazon Pay"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients.","Comma separated. The ""Login with Amazon"" and ""Amazon Pay"" buttons will <em>only</em> be rendered for clients having the above IPs.
                            If the field is empty, the buttons will be visible to all clients."
"Module version","Module version"
"--","--"
"Amazon Pay button in minicart","Amazon Pay button in minicart"
"An unsupported currency is currently selected. Review our <a href=""%s"" target=""_blank"">configuration guide</a> for more information.","An unsupported currency is currently selected. Review our <a href=""%s"" target=""_blank"">configuration guide</a> for more information."
"You will be registering for a %s account based on the base currency of your shop (%s). For more information, click <a href=""%s"" target=""_blank"">here</a>.","You will be registering for a %s account based on the base currency of your shop (%s). For more information, click <a href=""%s"" target=""_blank"">here</a>."
"Get started with account registration","アカウント登録を始める"
"My account is ready, I need to connect it to Magento","アカウントの登録が完了したので、Magentoと連携させる"
"or","or"
"I've already setup Pay with Amazon, I want to edit my settings","Amazon Payのセットアップが完了したので、設定の変更をする。"
"Back","戻る"
"Updating your config with new keys, please wait...","Updating your config with new keys, please wait..."
"In order to enable automatic account configuration using Amazon's secure key exchange, please turn on secure admin pages in General > Web > Use secure URLs in Admin.","In order to enable automatic account configuration using Amazon's secure key exchange, please turn on secure admin pages in General > Web > Use secure URLs in Admin."
"Paste JSON credentials here","JSON認証情報をここに貼り付ける"
"Save Credentials","認証情報を保存"
"Valid JSON credentials are required.","適切な JSON認証情報が必要です。"
