"Action is not available","Operation nicht möglich"
"Error processing Amazon Login","Fehler bei der Verarbietung der Anmeldung"
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","Es existiert bereits ein Konto für diese E-Mail Adresse. Bitte geben Sie das Passwort dieses Kontos an, um fortzufahren."
"Login with Amazon","Login mit Amazon"
"With Amazon Payments, you can use the shipping and payment information stored in your Amazon account to place an order on this website. <br />It's a convenient and trusted way to pay that's enjoyed by millions of people. By selecting Amazon Payments, you will be asked to sign-in securely to your Amazon account without leaving the shop."," Login und Bezahlen mit Amazon: Jetzt können Sie sich mit den in Ihrem Amazon-Konto hinterlegten Zahlungs- und Lieferinformationen einloggen und bezahlen."
"Securely login into our website using your existing Amazon details."," Loggen Sie sich mit den in Ihrem bestehenden Amazon-Konto hinterlegten Informationen ein."
"Welcome back!","Wilkommen zurück!"
"Continue as Guest","Als Gast fortfahren"
"the email address for your Amazon account is invalid","Die E-Mail Adresse Ihres Amazon-Kontos ist ungültig."
"* Required Fields","* Pflichtfeld"
"Password","Passwort"
"Ok","Ok"
"Forgot Your Password?","Passwort vergessen?"
