"Action is not available","Action non disponible"
"Error processing Amazon Login","Erreur lors du traitement de l'identifiant Amazon"
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","Un compte pour cette boutique existe déjà avec cette adresse e-mail. Saisissez le mot de passe du compte de cette boutique afin de vous connecter sans quitter la boutique."
"Login with Amazon","Connectez-vous avec Amazon"
"With Amazon Pay, you can use the shipping and payment information stored in your Amazon account to place an order on this website. <br />It's a convenient and trusted way to pay that's enjoyed by millions of people. By selecting Amazon Pay, you will be asked to sign-in securely to your Amazon account without leaving the shop.","Amazon Pay vous permet d'utiliser les informations de paiement et d'expédition stockées dans votre compte Amazon pour passer une commande sur ce site Web. <br />Des millions d'utilisateurs bénéficient déjà de ce mode de paiement simple et éprouvé. En sélectionnant Amazon Pay, vous serez invité à vous connecter de manière sécurisée à votre compte Amazon sans quitter le site."
"Securely login into our website using your existing Amazon details.","Connectez-vous en toute sécurité à notre site Web à l'aide de vos identifiants Amazon existants."
"Welcome back!","Bienvenue !"
"Continue as Guest","Continuer en tant qu'invité"
"the email address for your Amazon account is invalid","L'adresse e-mail de votre compte Amazon n'est pas valide."
"* Required Fields","* Champs requis"
"Password","Mot de passe"
"Ok","OK"
"Forgot Your Password?","Vous avez oublié votre mot de passe ?"
