"Action is not available","Azione non disponibile"
"Error processing Amazon Login","Errore durante l'elaborazione dell'accesso Amazon"
"A shop account for this email address already exists. Please enter your shop accounts password to log in without leaving the shop.","Esiste già un account negozio per questo indirizzo e-mail. Immetti la password del tuo account negozio per accedere senza uscire dal negozio."
"Login with Amazon","Accedi con Amazon"
"With Amazon Pay and Login with Amazon, you can easily sign-in and use the shipping and payment information stored in your Amazon account to place an order on this shop.","Con Amazon Pay e Accedi con Amazon, puoi usare le informazioni su pagamento e spedizione registrate nel tuo account Amazon per effettuare un ordine su questo sito web. <br />È un modo pratico e affidabile di effettuare i pagamenti, utilizzato da milioni di utenti. Selezionando Amazon Pay, ti verrà chiesto di accedere in modo sicuro al tuo account Amazon senza uscire dal sito."
"Securely login into our website using your existing Amazon details.","Accedi in modo sicuro al nostro sito web utilizzando i dati Amazon di cui già disponi."
"Welcome back!","Bentornato!"
"Continue as Guest","Prosegui come ospite"
"the email address for your Amazon account is invalid","L'indirizzo e-mail del tuo account Amazon non è valido."
"* Required Fields","* Campi obbligatori"
"Password","Password"
"Ok","OK"
"Forgot Your Password?","Hai dimenticato la password?"
"Login with Amazon available in authentication popup","Accedi con Amazon disponibile nel pop-up di autenticazione"
"You will be redirected shortly...","Verrai reindirizzato a breve..."
"If you are not redirected automatically, try refreshing the page, or return to your cart and use another payment method.","Se non vieni reindirizzato automaticamente, prova a ricaricare la pagina o torna al carrello e utilizza un altro metodo di pagamento."
